,PW01,PW05,PW06,PW07,PW08,PW09,PW010,PW011
PW02,28.30194339616981,73.54590403278758,73.54590403278758,50.28916384272063,28.30194339616981,15.0,28.30194339616981,50.28916384272063
PW03,50.28916384272063,50.28916384272063,50.28916384272063,28.30194339616981,15.0,28.30194339616981,50.28916384272063,73.54590403278758
PW04,73.54590403278758,28.30194339616981,28.30194339616981,15.0,28.30194339616981,50.28916384272063,73.54590403278758,97.16480844420988
PW01,0.0,96.0,100.57832768544127,78.0,56.60388679233962,38.41874542459709,30.0,38.41874542459709
PW05,96.0,0.0,30.0,38.41874542459709,56.60388679233962,78.0,100.57832768544127,123.69316876852982
PW06,100.57832768544127,30.0,0.0,24.0,48.0,72.0,96.0,120.0
PW07,78.0,38.41874542459709,24.0,0.0,24.0,48.0,72.0,96.0
PW08,56.60388679233962,56.60388679233962,48.0,24.0,0.0,24.0,48.0,72.0
PW09,38.41874542459709,78.0,72.0,48.0,24.0,0.0,24.0,48.0
PW010,30.0,100.57832768544127,96.0,72.0,48.0,24.0,0.0,24.0
PW011,38.41874542459709,123.69316876852982,120.0,96.0,72.0,48.0,24.0,0.0
